GAME|UUID|STARTTIME|NEXTSTATINDEX|CURRENTSTATE|OURSEASON|THEIRSEASON|TAKESTATSNOWEVENT
34|d93e5df3-03ff-4adb-aa08-383b305e6fee||197|2233|1|15|0
35|c6546d85-fcc8-4038-9b52-1d0db350c85c||162|2301|1|16|0
36|54343cb4-fbaa-4809-91b7-c936a4ffaf74||166|2375|1|16|0
37|f8b54859-2538-46bf-8860-861a61fea162||138|2445|1|17|0
38|78814cb5-015c-442e-8c12-60f4344303e0||200|2509|1|17|0
39|f232db9f-3134-4525-ad3f-aba51ca3139f||148|2569|1|18|0
40|dfdb07dc-e708-4e00-9103-c5c3362f1c6a||217|2653|1|16|0
41|2de46f5f-e7c4-4e43-a11c-6246d524ae59||230|2751|1|17|0
43|1baa5fc3-8382-4e3b-9866-49a949631fdb||138|2822|2|19|0
44|fd2507f2-62bf-4e61-9287-a1994ecb1217||205|2914|2|19|0
45|34733fab-b60c-4eb5-ab1e-4468110113e5||151|2963|1|19|0
46|f4f3a34a-ead2-4479-989a-d8ee0bbcffa1||0||1|19|0
47|02681088-ad6c-4f20-bb63-83c84edb33fd||194|3031|1|19|0
48|658ff348-1b6b-4716-8c13-a6bcb40c878d||167|3073|1|19|0
49|02c0416f-0cb7-42ca-8d06-c384b4543dda||194|3165|2|6|0
50|11826cb3-caab-41d5-9de4-4d9e1cd9beed||180|3238|2|6|0
51|bab1d0f1-8214-490d-a9c0-dd42a5d87c2a||188|3310|1|6|0
52|2e1db560-7b4c-49e1-8576-8b2291b1ac66||178|3355|1|6|0
53|16504e05-4017-4222-b188-6764f97c01e8||155|3418|1|6|0
54|2e63f7c6-eb01-4f0f-95cd-98a213729575||163|3489|2|3|0
55|48d3724f-86be-4c15-9deb-74e68592bb57||152|3556|2|3|0
57|d5152dfb-fe3d-4576-8371-48b4e651747c||200|3610|1|3|0
58|142d635a-a137-47ad-ad68-104d216c389e||198|3692|1|3|0
59|fe7f15f2-106e-4ff6-958e-a3c6755fa68f||150|3746|1|3|0
60|78eac956-5e2b-4c02-8981-ea3a51f9babb||186|3802|1|3|0
61|af5a0207-d078-460a-a3da-42af832291e1||214|3878|2|18|0
62|a95e1750-c884-4cdb-9165-48057539819f||127|3934|2|18|0
63|7c7f1ee7-97c7-43f5-9818-3e5b46be7b0c||183|3993|1|18|0
64|d9a79d25-a4d8-4ea9-88d7-3bdbae5a5c98||201|4074|1|18|0
65|79b7d487-c346-40ee-a569-65c34b84d9fc||155|4143|1|18|0
66|0391a152-c4a7-4f8e-b5aa-d22170fe2276||146|4232|1|20|0
67|7aae1bcc-e89a-464b-a381-1190e3436a19||227|4318|1|20|0
68|fa31f7e2-54be-4e47-a76f-f536d79b81aa||137|4375|1|21|0
69|99e43c44-744d-48a5-ac94-523231bd5a8c||166|4464|1|21|0
70|a6d35b81-3f5e-408e-93de-cf1103183403||137|4518|1|22|0
71|5585a8fe-61c2-4828-b7bd-f02f0773ac66||156|4583|1|22|0
72|ed78826b-8daa-4b4f-b4f6-405129a42746||150|4626|1|14|0
