EVENTGROUPINGATTRIBUTE|VALUE|NAME
363|FC|Location
363|1460001600000|Start Date
363|1460069902000|Start Time
364|FC|Location
364|1460001600000|Start Date
364|1460071935000|Start Time
365|FC|Location
365|1460001600000|Start Date
365|1460073372000|Start Time
366|FC|Location
366|1460001600000|Start Date
366|1460074748000|Start Time
367|FC|Location
367|1460001600000|Start Date
367|1460076026000|Start Time
368|FC|Location
368|Fox Chapel|Name
369|FC|Location
369|1460174400000|Start Date
369|Plum|opponent
370|FC|Location
370|1460174400000|Start Date
370|1460208461000|Start Time
371|FC|Location
371|1460174400000|Start Date
371|1460209430000|Start Time
372|FC|Location
372|1460174400000|Start Date
372|Bethel Park |opponent
373|FC|Location
373|1460174400000|Start Date
373|1460211336000|Start Time
374|FC|Location
374|1460174400000|Start Date
374|1460212563000|Start Time
375|FC|Location
375|1460174400000|Start Date
375|Peters Township|opponent
376|FC|Location
376|1460174400000|Start Date
376|1460218510000|Start Time
377|FC|Location
377|1460174400000|Start Date
377|Plum|opponent
378|FC|Location
378|1460174400000|Start Date
378|1460220165000|Start Time
379|FC|Location
379|1460174400000|Start Date
379|1460221033000|Start Time
380|FC|Location
380|1460174400000|Start Date
380|Conneaut Valley|opponent
381|FC|Location
381|1460174400000|Start Date
381|1460225495000|Start Time
382|FC|Location
382|1460174400000|Start Date
382|1460226573000|Start Time
383|FC|Location
383|1460174400000|Start Date
383|Bethel Park |opponent
384|FC|Location
384|1460174400000|Start Date
384|1460234478000|Start Time
385|North Hills|Location
385|1460433600000|Start Date
385|North Hills |opponent
386|North Hills|Location
386|1460433600000|Start Date
386|1460504777000|Start Time
387|North Hills|Location
387|1460433600000|Start Date
387|1460506620000|Start Time
388|North Hills|Location
388|1460433600000|Start Date
388|1460508127000|Start Time
389|Fox Chapel|Location
389|1460606400000|Start Date
389|Seneca Valley|opponent
390|Fox Chapel|Location
390|1460606400000|Start Date
390|1460675546000|Start Time
391|Fox Chapel|Location
391|1460606400000|Start Date
391|1460677041000|Start Time
392|Fox Chapel|Location
392|1460606400000|Start Date
392|1460678170000|Start Time
393|Fox Chapel|Location
393|1461211200000|Start Date
393|Butler|opponent
394|Fox Chapel|Location
394|1461211200000|Start Date
394|1461280788000|Start Time
395|Fox Chapel|Location
395|1461211200000|Start Date
395|1461282260000|Start Time
396|Fox Chapel|Location
396|1461211200000|Start Date
396|1461283413000|Start Time
397|Plum|Location
397|Plum|Name
398|Plum|Location
398|1461384000000|Start Date
398|Central Catholic|opponent
399|Plum|Location
399|1461384000000|Start Date
399|1461414907000|Start Time
400|Plum|Location
400|1461384000000|Start Date
400|South Park|opponent
401|Plum|Location
401|1461384000000|Start Date
401|1461418014000|Start Time
402|Plum|Location
402|1461384000000|Start Date
402|Norwin|opponent
403|Plum|Location
403|1461384000000|Start Date
403|1461422674000|Start Time
404|Plum|Location
404|1461384000000|Start Date
404|Bishop Guilfoyle|opponent
405|Plum|Location
405|1461384000000|Start Date
405|1461425964000|Start Time
406|Plum|Location
406|1461384000000|Start Date
406|1461427085000|Start Time
407|Plum|Location
407|1461384000000|Start Date
